TEAM	GP	POSS	FREQ	PPP	PTS	FGM	FGA	FG	EFG	FTFREQ	TOVFREQ	SFFREQ	ANDONEFREQ	SCOREFREQ	PERCENTILE
Atlanta Hawks	81	23.0	19.5	0.80	18.3	6.8	16.8	40.6	45.1	9.3	19.4	7.3	1.9	36.8	3.4
Boston Celtics	82	16.3	14.6	0.91	14.7	5.7	13.3	43.3	48.0	7.9	12.1	6.6	1.5	41.3	79.3
Brooklyn Nets	82	23.7	20.6	0.89	21.1	7.7	18.1	42.3	47.8	10.5	14.7	8.9	1.6	40.9	69.0
Charlotte Hornets	82	25.0	22.5	0.93	23.3	8.6	19.9	43.3	48.3	10.2	12.5	8.9	2.2	42.3	93.1
Chicago Bulls	82	22.0	20.0	0.85	18.8	7.4	17.2	43.0	46.4	8.7	14.6	8.0	1.8	40.5	37.9
Cleveland Cavaliers	82	23.3	21.3	0.86	20.0	7.6	18.6	40.9	45.4	8.6	12.9	7.8	1.4	39.6	44.8
Dallas Mavericks	82	21.3	19.1	0.86	18.3	6.7	15.8	42.6	47.2	11.2	16.5	8.3	1.8	40.4	48.3
Denver Nuggets	82	16.0	14.3	0.88	14.0	5.6	13.0	42.7	46.2	8.3	11.5	7.3	1.7	40.9	58.6
Detroit Pistons	82	19.0	17.1	0.88	16.8	6.6	15.4	42.8	46.8	8.6	12.5	7.2	1.9	41.0	65.5
Golden State Warriors	82	12.1	10.8	0.99	12.0	4.5	9.8	45.7	52.9	8.4	12.7	7.8	2.1	43.1	100
Houston Rockets	82	16.2	14.7	0.90	14.6	5.0	11.8	42.4	49.0	11.6	17.6	8.7	2.0	40.2	75.9
Indiana Pacers	82	17.2	15.7	0.81	14.0	5.6	13.6	41.2	44.6	7.8	14.4	6.8	1.3	38.6	10.3
LA Clippers	82	25.8	22.8	0.90	23.2	8.4	18.9	44.4	47.4	13.1	16.0	10.4	2.3	42.9	72.4
Los Angeles Lakers	82	19.7	17.0	0.83	16.3	6.3	15.1	41.9	46.6	9.1	15.7	8.2	1.7	38.4	17.2
Memphis Grizzlies	82	17.6	16.4	0.85	14.9	5.4	13.8	39.4	43.3	10.9	12.6	9.2	1.9	39.6	31.0
Miami Heat	82	21.0	18.8	0.75	15.8	6.3	16.0	39.6	42.0	8.0	17.1	6.6	1.4	36.2	0.0
Milwaukee Bucks	82	13.9	12.2	0.91	12.7	4.8	10.7	44.9	50.6	9.6	16.2	8.6	2.8	41.2	86.2
Minnesota Timberwolves	82	19.4	16.9	0.84	16.3	6.6	15.7	41.8	44.2	9.0	11.7	8.4	1.9	40.4	24.1
New Orleans Pelicans	82	15.0	12.9	0.81	12.1	4.9	11.7	42.1	45.7	7.6	16.2	6.8	1.6	38.2	6.9
New York Knicks	82	24.0	21.4	0.88	21.1	7.9	18.5	42.8	46.3	10.8	13.7	8.8	1.7	41.8	62.1
Oklahoma City Thunder	81	21.1	17.9	0.85	18.0	6.9	16.1	43.0	46.1	10.8	15.9	9.2	2.7	40.1	34.5
Orlando Magic	82	20.3	18.5	0.83	16.7	6.3	15.9	39.7	44.5	8.2	15.2	7.5	1.9	37.4	13.8
Philadelphia 76ers	82	13.1	11.5	0.91	11.9	4.8	10.5	45.9	48.3	10.3	11.9	9.3	1.9	44.3	82.8
Phoenix Suns	82	23.4	20.9	0.83	19.5	7.2	17.4	41.6	45.2	10.3	17.0	8.7	1.9	39.1	20.7
Portland Trail Blazers	82	21.5	18.9	0.98	21.1	8.0	17.6	45.6	51.6	8.4	11.4	6.3	1.8	43.7	96.6
Sacramento Kings	82	19.0	16.4	0.84	16.0	6.3	15.0	42.1	46.0	8.5	14.5	7.5	1.7	39.7	27.6
San Antonio Spurs	82	20.2	18.5	0.92	18.5	7.3	16.2	44.7	48.2	8.8	12.5	7.7	1.9	42.9	89.7
Toronto Raptors	82	16.8	15.0	0.87	14.6	5.3	12.6	42.1	46.2	11.6	15.9	9.5	2.4	40.6	55.2
Utah Jazz	82	24.1	21.5	0.86	20.7	8.0	18.3	43.9	48.0	9.0	17.0	7.2	1.7	40.1	41.4
Washington Wizards	82	17.2	15.1	0.86	14.8	5.8	13.1	44.5	47.8	9.1	16.1	7.6	1.3	41.3	51.7
