Washington Wizards	82	7.4	6.8	1.07	7.9	3.3	6.3	52.8	55.1	10.1	6.8	9.7	2.1	52.0	89.7
Utah Jazz	82	7.0	6.6	1.06	7.4	2.9	5.5	53.1	54.4	16.7	7.9	14.7	3.2	53.7	86.2
Toronto Raptors	82	5.7	5.4	1.06	6.0	2.4	4.7	50.8	54.3	12.5	7.5	11.6	2.6	51.1	82.8
San Antonio Spurs	82	7.7	7.4	0.95	7.3	3.1	6.6	47.5	48.5	9.8	7.3	9.5	2.2	47.3	3.4
Sacramento Kings	82	7.2	6.3	0.98	7.0	2.8	5.9	47.0	49.1	12.9	7.0	12.6	2.9	48.0	31.0
Portland Trail Blazers	82	7.3	6.7	0.99	7.3	2.7	5.6	48.4	53.1	15.3	11.8	14.5	3.7	47.3	34.5
Phoenix Suns	82	6.3	5.6	1.03	6.5	2.6	5.4	47.7	53.2	10.6	6.9	10.2	2.7	48.0	65.5
Philadelphia 76ers	82	7.2	6.6	0.95	6.8	2.7	5.6	48.0	50.7	12.8	11.4	12.1	2.4	47.4	6.9
Orlando Magic	82	9.5	8.8	1.01	9.6	4.1	8.3	49.4	52.3	7.3	7.0	7.2	1.8	48.3	44.8
Oklahoma City Thunder	82	9.7	8.6	1.03	10.0	4.3	8.1	53.1	54.2	9.4	9.2	8.9	1.8	51.1	58.6
New York Knicks	82	5.9	5.5	0.97	5.7	2.3	4.8	47.2	50.6	9.4	8.9	8.9	1.0	46.6	13.8
New Orleans Pelicans	82	9.3	8.6	1.03	9.6	3.7	7.6	48.6	51.9	13.4	7.2	12.9	2.1	50.0	72.4
Minnesota Timberwolves	82	9.0	8.4	0.97	8.8	3.5	7.4	47.6	49.8	11.8	10.0	11.1	3.2	46.8	24.1
Milwaukee Bucks	82	5.3	5.0	1.02	5.4	2.4	4.4	53.2	53.7	10.3	8.5	10.1	1.8	51.0	51.7
Miami Heat	82	8.0	7.6	1.17	9.3	3.5	6.5	54.5	58.3	16.4	5.8	15.8	4.3	56.1	100
Memphis Grizzlies	82	6.9	6.5	1.01	7.0	2.9	5.8	49.9	50.9	10.0	7.4	8.8	1.4	50.2	41.4
Los Angeles Lakers	82	5.7	5.2	0.93	5.3	2.2	4.8	45.7	46.4	10.8	6.9	9.9	2.4	46.7	0.0
LA Clippers	82	8.8	8.3	1.05	9.2	3.9	7.3	53.0	55.8	12.4	6.4	11.5	2.6	51.9	79.3
Indiana Pacers	82	7.3	6.7	0.97	7.1	3.0	6.2	48.4	49.5	11.6	6.5	11.0	2.5	48.8	20.7
Houston Rockets	82	5.4	4.8	1.03	5.5	2.3	4.3	54.1	56.8	14.7	10.6	13.1	4.5	50.6	55.2
Golden State Warriors	82	5.6	5.1	0.99	5.6	2.1	4.4	47.0	51.6	13.9	8.9	13.4	2.2	47.5	37.9
Detroit Pistons	82	6.6	6.0	1.02	6.7	2.7	5.4	50.2	53.6	12.7	7.2	11.9	1.8	49.8	48.3
Denver Nuggets	82	8.5	7.7	1.05	8.8	3.5	7.0	50.6	52.3	14.6	6.5	13.8	3.6	51.6	75.9
Dallas Mavericks	82	8.0	7.5	1.03	8.2	3.2	6.6	48.1	52.6	12.6	6.9	11.2	2.1	49.7	69.0
Cleveland Cavaliers	82	6.7	6.3	1.16	7.8	3.0	5.5	55.0	60.0	13.8	6.2	13.4	1.8	55.9	96.6
Chicago Bulls	82	7.1	6.5	0.98	7.0	2.8	6.0	47.2	49.8	10.1	6.9	8.8	1.0	47.9	27.6
Charlotte Hornets	82	7.7	7.2	1.10	8.4	3.2	6.6	49.3	54.7	11.9	5.2	11.3	2.4	51.2	93.1
Brooklyn Nets	82	10.5	9.7	0.97	10.2	4.5	9.0	49.5	49.9	10.4	7.2	10.2	3.4	48.3	17.2
Boston Celtics	82	8.2	7.3	0.96	7.9	3.2	6.9	45.9	49.3	10.7	7.7	9.5	2.5	45.4	10.3
Atlanta Hawks	82	9.2	8.6	1.03	9.5	3.8	8.1	47.7	53.0	7.9	6.7	7.0	2.1	47.0	62.1
